accession,sample-name,longitude,latitude,geo-loc-name,studies,biome
ERS1972384,KD015_170322,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972385,KD015_170407,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972386,KD016_170322,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972387,KD016_170407,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972388,KD020_170322,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972389,KD020_170407,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972390,KD021_170322,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972391,KD021_170407,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972392,KD025_170322,-148.8943,87.772,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972393,KD025_170407,-148.8943,87.772,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972394,KD040_170322,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972395,KD040_170407,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972396,KD042_170322,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972397,KD042_170407,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972398,KD055_170322,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972399,KD055_170407,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
