accession,sample-name,longitude,latitude,geo-loc-name,studies,biome
ERS1568992,KD099_S3_54,-147.8331,78.1739,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568993,KD115_S2_49,-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568994,"Arctic seawater metagenome, 137 m",-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568995,KD118_S8_32,-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568996,"Arctic seawater metagenome, 860 m",-158.8455,72.9989,Arctic Ocean,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1568997,KD120_S12_46,-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568998,KD120_S5_46,-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1568999,KD121_S6_45,-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569000,KD122_S11_44,-158.8455,72.9989,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569001,"Arctic seawater metagenome, 415 m",-158.8455,72.9989,Arctic Ocean,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1569002,"Arctic seawater metagenome, 240 m",-158.8455,72.9989,Arctic Ocean,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1569003,"Arctic seawater metagenome, 29 m",-159.6242,72.7978,Arctic Ocean,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1569004,KD127_S10_41,-159.6242,72.7978,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569005,KD128_S10_40,-159.6242,72.7978,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569006,KD128_S1_40,-159.6242,72.7978,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569007,KD129_S11_39,-159.6242,72.7978,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569008,KD130_S9_36,-159.6157,72.7999,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1569009,KD130_S12_36,-159.6157,72.7999,Arctic Ocean,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1572817,North Sea - 1N - t0,11.9099,78.9235,North Sea,MGYS00001316,root:Environmental:Aquatic:Marine
ERS1800270,ArcMicro_NICE15_1,22.2939,83.1672,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800271,ArcMicro_NICE15_2,22.2939,83.1672,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800272,ArcMicro_NICE15_3,22.2939,83.1672,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800273,ArcMicro_NICE15_4,15.205,82.4375,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800274,ArcMicro_NICE15_5,15.205,82.4375,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800275,ArcMicro_NICE15_6,15.205,82.4375,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800276,ArcMicro_NICE15_7,7.9856,80.7153,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800277,ArcMicro_NICE15_8,7.9856,80.7153,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1800278,ArcMicro_NICE15_9,7.9856,80.7153,Arctic Ocean,MGYS00001869,root:Environmental:Aquatic:Marine:Oceanic
ERS1972306,26-1_170427,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972307,26-1_170506,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972308,26-10_170427,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972309,26-10_170506,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972310,26-11_170427,-174.2109,83.7143,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972311,26-11_170506,-174.2109,83.7143,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972312,26-12_170427,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972313,26-12_170506,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972314,26-13_170427,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972315,26-13_170506,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972316,26-14_170427,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972317,26-14_170506,-174.2109,83.7143,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972318,26-15_170427,-174.2109,83.7143,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972319,26-15_170506,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972320,26-16_170427,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972321,26-16_170506,-174.2108,83.7143,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972322,26-2_170427,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972323,26-2_170506,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972324,26-3_170427,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972325,26-3_170506,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972326,26-4_170427,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972327,26-4_170506,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972328,26-5_170427,-174.8173,83.7549,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972329,26-5_170506,-174.8173,83.7549,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972330,26-6_170427,-174.8173,83.7549,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972331,26-6_170506,-174.8173,83.7549,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972332,26-7_170427,-174.8173,83.7549,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972333,26-7_170506,-174.8173,83.7549,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972334,26-8_170427,-174.8173,83.755,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
